,L_snr,H_snr,V_snr,amplitude,L_autochi^2_PQ,H_autochi^2_PQ,m1,m2,mc,s1z,s2z,t_dur,nEvents,L_ERw,H_ERw,L_phase,H_phase,L_effDist,H_effDist,Lend_time,Hend_time,iFAR,label,gps_time,gps_time_int,commonName,pAstroMbta,GPS,GPS_int
0,9.591222,10.412834,2.374452,14.046253,1.091095,1.07688,34.675133,22.911187,24.432931,0.247838,-0.198318,0.848633,636.0,1.0,1.0,0.024215,-2.906365,2521.761052,1841.837226,1238782700.315093,1238782700.318274,12391.577031,Noise,1238782700.315093,1238782700,GW190408_181802,1.0,1238782700.2,1238782700
2,15.407215,8.896469,3.86396,17.616051,1.11728,0.879152,46.502447,7.682387,15.311144,0.387664,0.812249,2.03833,1534.0,1.0,1.0,0.276709,-2.634755,984.187159,1275.829248,1239082262.194932,1239082262.191235,170138.815846,Noise,1239082262.194932,1239082262,GW190412,1.0,1239082262.1,1239082262
3,7.692361,5.821473,3.5737,9.585941,0.838057,1.151555,78.45811,40.719152,48.688148,-0.554097,0.582075,0.234375,109.0,1.0,1.0,-2.916966,0.142987,4505.587807,4640.100063,1239198206.791021,1239198206.794804,2.883517,Noise,1239198206.791021,1239198206,GW190413_134308,0.99,1239198206.7,1239198206
5,8.283435,9.189532,3.274329,11.3596,1.675127,1.300273,57.012753,42.663632,42.844931,0.330111,-0.23347,0.328369,422.0,0.994612,1.0,-1.87033,2.263463,4733.41932,3415.493019,1240944862.348185,1240944862.339731,58.715733,Noise,1240944862.348185,1240944862,GW190503_185404,1.0,1240944862.2,1240944862
7,10.225166,5.193231,2.309508,11.277188,0.667435,0.999559,69.541378,6.888585,17.04399,0.385505,0.720744,1.492188,103.0,1.0,1.0,-1.253387,2.015938,1520.991646,2242.513059,1241719652.451884,1241719652.456807,29.946596,Noise,1241719652.451884,1241719652,GW190512_180714,0.99,1241719652.4,1241719652
8,8.065422,9.271985,4.096807,10.378472,1.172889,0.977075,78.547394,12.955245,25.838049,0.30573,-0.591916,0.692139,351.0,0.610966,1.0,-2.642708,0.99912,2597.444496,1953.950608,1241816086.787595,1241816086.792517,10.4923,Noise,1241816086.787595,1241816086,GW190513_205428,0.99,1241816086.7,1241816086
10,7.745605,7.344214,3.756829,10.365271,1.316384,0.827329,49.202089,43.99646,40.49104,0.590974,0.955892,0.538574,134.0,1.0,1.0,-2.664337,1.201441,5976.135984,5160.689834,1242107479.888064,1242107479.881913,10.232988,Noise,1242107479.888064,1242107479,GW190517_055101,1.0,1242107479.8,1242107479
11,10.790296,8.310653,1.863872,13.263205,1.255721,1.227149,89.679592,49.715003,57.63144,0.264453,0.534601,0.276123,507.0,1.0,1.0,-0.537475,-2.993178,4438.153074,4211.080697,1242315362.462911,1242315362.465905,16880.026225,Noise,1242315362.462911,1242315362,GW190519_153544,1.0,1242315362.3,1242315362
13,10.09424,7.473258,3.47525,10.781587,2.220578,1.262399,184.86656,2.543039,14.085377,0.067957,0.598058,0.381592,37.0,1.0,1.0,1.11063,-2.811319,282.500612,254.630555,1242442967.538322,1242442967.534191,27.543823,Noise,1242442967.538322,1242442967,GW190521,0.96,1242442967.4,1242442967
15,10.019067,6.757153,3.582369,11.905469,1.005246,1.193472,113.3136,2.760772,12.140604,-0.479808,0.38378,0.550781,88.0,1.0,1.0,0.056535,2.762726,304.246062,320.824963,1243533585.150169,1243533585.142421,3213.879399,Noise,1243533585.150169,1243533585,GW190602_175927,1.0,1243533585.0,1243533585
18,8.277711,5.486739,5.203467,7.736176,1.503018,0.838778,77.633301,2.004306,8.609613,-0.879533,-0.348431,1.285889,13.0,0.774123,1.0,0.041835,2.135991,339.091734,404.60969,1246048404.608023,1246048404.614952,5.3e-05,Noise,1246048404.608023,1246048404,GW190701_203306,0.87,1246048404.5,1246048404
20,8.189091,8.833048,2.313663,11.309218,1.86627,1.033164,110.54525,4.010974,15.006182,-0.284575,-0.218904,0.61377,558.0,1.0,1.0,-0.428557,2.572073,616.636133,433.091881,1246487219.381045,1246487219.381151,4.468488,Noise,1246487219.381045,1246487219,GW190706_222641,1.0,1246487219.3,1246487219
22,7.921445,7.040735,4.817654,10.555498,1.000021,0.699901,17.84071,8.35837,10.482455,0.517681,-0.34226,3.914307,361.0,1.0,1.0,1.987888,-1.586992,1664.640857,1516.990468,1247616534.721442,1247616534.718567,12.99639,Noise,1247616534.721442,1247616534,GW190720_000836,1.0,1247616534.7,1247616534
23,7.204882,5.76098,3.434725,9.034557,0.929135,0.843855,20.780165,5.615403,9.034659,0.260637,-0.021551,4.898438,118.0,1.0,1.0,-0.391854,-2.646332,1504.616077,1512.787851,1248112066.477284,1248112066.480959,0.309642,Noise,1248112066.477284,1248112066,GW190725_174728,0.59,1248112066.4,1248112066
24,10.609851,7.375051,2.176418,12.864358,0.751901,1.048747,21.733774,6.716983,10.180448,0.473334,-0.452886,4.04834,2157.0,1.0,1.0,-0.841649,2.013517,1043.673187,1137.797595,1248331528.549504,1248331528.544857,1049.363082,Noise,1248331528.549504,1248331528,GW190728_064510,1.0,1248331528.5,1248331528
26,6.504687,5.686651,2.493906,8.572041,0.802508,0.640052,57.012753,42.663632,42.844931,0.330111,-0.23347,0.328369,50.0,1.0,1.0,-2.590024,0.53521,6122.820366,5545.410032,1248834439.928815,1248834439.935477,0.013277,Noise,1248834439.928815,1248834439,GW190803_022701,0.96,1248834439.8,1248834439
28,11.544083,9.521957,2.561257,14.85416,1.02854,1.162704,51.022404,45.891236,42.11312,0.831531,0.170683,0.470459,627.0,1.0,1.0,2.428541,-1.065523,3347.415398,3383.083494,1251009263.811535,1251009263.81198,167314.067585,Noise,1251009263.811535,1251009263,GW190828_063405,1.0,1251009263.7,1251009263
