,L_snr,H_snr,V_snr,amplitude,L_autochi^2_PQ,H_autochi^2_PQ,m1,m2,mc,s1z,s2z,t_dur,nEvents,L_ERw,H_ERw,L_phase,H_phase,L_effDist,H_effDist,Lend_time,Hend_time,iFAR,label,gps_time,gps_time_int,commonName,pAstroMbta,GPS,GPS_int
0,8.181941,6.121471,3.068819,9.894587,1.377419,0.821483,12.386595,9.993676,9.674605,0.289652,-0.312004,4.377441,544.0,1.0,1.0,2.17405,-1.436761,1314.013075,1466.397274,1256999739.942115,1256999739.944856,5.410761,Noise,1256999739.942115,1256999739,GW191105_143521,1.0,1256999739.9,1256999739
1,6.384114,6.263817,2.194304,8.725708,1.41646,1.019871,26.270411,9.000023,13.023992,-0.511723,0.113716,2.294434,81.0,0.99822,0.99996,0.585278,-2.549794,1763.259968,1476.72286,1257664691.843646,1257664691.842705,0.034335,Noise,1257664691.843646,1257664691,GW191113_071753,0.68,1257664691.8,1257664691
2,6.352106,6.741395,3.212993,9.178082,0.672069,0.974182,62.153575,2.618799,9.218558,-0.993319,-0.617807,1.73291,245.0,1.0,1.0,2.520658,-0.723201,563.271159,362.951887,1258866165.580353,1258866165.583562,0.801402,Noise,1258866165.580353,1258866165,GW191127_050227,0.73,1258866165.5,1258866165
3,7.916531,6.726238,2.95729,10.12024,1.397356,0.532016,31.456925,25.876131,24.813518,0.541393,-0.741324,0.846191,201.0,1.0,1.0,-1.212018,2.226158,2860.476782,2762.637029,1260484270.365868,1260484270.363416,3.33089,Noise,1260484270.365868,1260484270,GW191215_223052,0.99,1260484270.3,1260484270
4,5.929313,7.367829,2.438614,8.846043,0.848973,1.398707,88.596589,2.679948,10.795784,-0.88818,-0.255347,0.635986,140.0,1.0,1.0,-1.680992,0.367823,450.476256,282.125495,1261764316.443116,1261764316.437612,0.122393,Noise,1261764316.443116,1261764316,GW191230_180458,0.4,1261764316.4,1261764316
5,8.63955,6.608187,2.973258,10.564311,1.381986,0.655944,4.242377,2.112452,2.575235,-0.622149,-0.054127,40.09082,259.0,1.0,1.0,-2.891166,-0.048336,461.677352,522.861497,1263097407.754438,1263097407.756187,0.046627,Noise,1263097407.754438,1263097407,GW200115_042309,1.0,1263097407.7,1263097407
6,6.595717,6.806985,4.282679,9.431838,1.002544,1.10775,61.005439,42.782317,44.335386,0.131365,-0.227423,0.326416,193.0,1.0,1.0,-1.220309,1.856226,5890.854406,5066.766171,1265202095.99972,1265202096.002665,1.628317,Noise,1265202095.99972,1265202095,GW200208_130117,1.0,1265202095.9,1265202095
7,5.975357,5.771612,3.227796,8.250027,0.614014,1.104444,142.39045,12.83893,33.037793,0.834561,-0.427711,0.696289,16.0,1.0,1.0,-2.153085,1.317232,4946.696106,4338.235586,1265235996.033558,1265235996.033752,0.002075,Noise,1265235996.033558,1265235996,GW200208_222617,0.02,1265235995.9,1265235996
8,6.152902,7.121473,2.440644,8.747823,1.145111,1.117862,61.005439,42.782317,44.335386,0.131365,-0.227423,0.326416,60.0,1.0,1.0,-1.22653,-2.760665,6170.123586,4856.131097,1265273710.225726,1265273710.231801,0.066594,Noise,1265273710.225726,1265273710,GW200209_085452,0.97,1265273710.1,1265273710
9,5.654019,6.369687,2.24413,8.014242,0.726886,0.699667,70.717804,2.114795,8.558804,-0.94081,0.810188,1.579834,40.0,1.0,1.0,-0.210237,-2.352782,532.932823,363.186852,1265926102.915011,1265926102.924295,0.000419,Noise,1265926102.915011,1265926102,GW200216_220804,0.02,1265926102.8,1265926102
10,8.767477,5.319883,2.566663,9.878325,1.198766,0.625216,45.950438,29.721182,32.020406,-0.880658,-0.267833,0.392334,44.0,1.0,1.0,-1.800465,1.883141,2912.305729,4306.530873,1266140673.233129,1266140673.236232,5.427292,Noise,1266140673.233129,1266140673,GW200219_094415,1.0,1266140673.1,1266140673
11,12.997231,12.633369,5.530331,18.073803,0.82469,0.942696,57.012753,42.663632,42.844931,0.330111,-0.23347,0.328369,892.0,1.0,1.0,-0.872584,2.942216,2936.49806,2728.876875,1266618172.453857,1266618172.452386,160967.559611,Noise,1266618172.453857,1266618172,GW200224_222234,1.0,1266618172.4,1266618172
12,5.673785,5.105966,3.153431,7.466628,0.960641,1.298184,66.598642,40.941564,45.192223,0.981112,0.991013,0.487305,1.0,1.0,1.0,2.857958,-0.777242,8947.239536,8929.218169,1267724187.784658,1267724187.78295,1.4e-05,Noise,1267724187.784658,1267724187,GW200308_173609,0.24,1267724187.7,1267724187
13,10.407202,10.691942,6.949659,14.554167,0.952697,1.324576,43.23765,22.186341,26.669892,-0.91398,0.836685,0.620361,319.0,1.0,1.0,2.566716,0.30773,2331.199194,2083.64688,1267963151.428137,1267963151.422038,168779.51856,Noise,1267963151.428137,1267963151,GW200311_115853,1.0,1267963151.3,1267963151
14,7.245964,5.124569,3.520319,8.771593,0.618757,0.950981,56.693183,3.807139,11.069454,0.750808,-0.266863,3.738281,71.0,1.0,1.0,-0.388264,2.604227,1558.327839,1975.737404,1268431094.190928,1268431094.188834,0.079677,Noise,1268431094.190928,1268431094,GW200316_215756,0.03,1268431094.1,1268431094
15,5.752218,6.049918,3.452776,8.263844,0.85693,0.998464,56.019888,15.296916,24.497925,0.992706,0.970977,1.158203,35.0,1.0,1.0,0.006572,-2.558436,5277.773003,4551.258519,1268903511.381786,1268903511.382268,0.002187,Noise,1268903511.381786,1268903511,GW200322_091133,0.62,1268903511.3,1268903511
